Problem Solving,life
Communication,life
C++,code
C#,code
Bicycle Maintenance,tech
Decision Making,life
Java,code
HTML,code
CSS,code
Python,code
Creativity,life
Computer Hardware,tech
PHP,code
Cooking,life
JQuery,code
Car Maintenance,tech
